O*NET-SOC Code	Element ID	Element Name	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-1011.03	2.D.1	Required Level of Education	RL	11	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	12	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.4.a	Job-Related Professional Certification	IM	n/a	2.70	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	1	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	2	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	3	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	4	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	5	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	6	3.70	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	7	11.11	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	8	40.74	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	9	18.52	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	10	11.11	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	11	14.81	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.2	On-Site or In-Plant Training	PT	1	40.74	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.2	On-Site or In-Plant Training	PT	2	22.22	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.2	On-Site or In-Plant Training	PT	3	7.41	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.2	On-Site or In-Plant Training	PT	4	7.41	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.2	On-Site or In-Plant Training	PT	5	7.41	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.2	On-Site or In-Plant Training	PT	6	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.2	On-Site or In-Plant Training	PT	7	7.41	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.2	On-Site or In-Plant Training	PT	8	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.2	On-Site or In-Plant Training	PT	9	7.41	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.3	On-the-Job Training	OJ	1	25.93	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.3	On-the-Job Training	OJ	2	18.52	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.3	On-the-Job Training	OJ	3	11.11	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.3	On-the-Job Training	OJ	4	22.22	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.3	On-the-Job Training	OJ	5	7.41	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.3	On-the-Job Training	OJ	6	7.41	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.3	On-the-Job Training	OJ	7	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.3	On-the-Job Training	OJ	8	3.70	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.3	On-the-Job Training	OJ	9	3.70	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	3.A.4.a	Job-related Apprenticeship	IM	n/a	1.81	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1021.00	2.D.1	Required Level of Education	RL	1	10.35	28	7.6848	2.0646	38.7124	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	2	28.76	28	11.3910	11.4276	55.8159	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	3	5.72	28	5.6980	0.6906	34.6394	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	4	21.59	28	11.0866	6.7027	51.3506	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	5	5.99	28	5.8141	0.7609	34.6341	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	6	27.30	28	10.5201	11.2316	52.6984	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	7	0.14	28	0.1380	0.0167	1.0888	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	8	0.15	28	0.1576	0.0191	1.2422	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	9	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	10	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	11	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	12	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1021.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	1.88	28	0.2508	1.3704	2.3996	N	08/2023	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	1	10.35	28	7.6848	2.0646	38.7124	N	08/2023	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	2	1.50	28	1.5086	0.1872	11.0086	N	08/2023	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	3	0.22	28	0.2188	0.0266	1.7166	N	08/2023	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	4	2.03	28	2.0460	0.2502	14.6100	N	08/2023	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	5	15.26	28	7.9256	4.8711	38.7749	N	08/2023	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	6	3.66	28	2.6840	0.7893	15.3387	N	08/2023	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	7	18.97	28	8.6803	6.8471	42.7210	N	08/2023	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	8	24.23	28	10.8936	8.6443	51.9317	N	08/2023	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	9	5.72	28	5.6980	0.6906	34.6394	N	08/2023	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	10	0.14	28	0.1380	0.0167	1.0888	N	08/2023	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	11	17.93	28	9.3027	5.6373	44.4253	N	08/2023	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	1	10.96	28	7.6113	2.4224	37.8850	N	08/2023	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	2	8.14	28	7.4393	1.1380	40.5598	N	08/2023	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	3	18.09	28	10.1270	5.1511	47.3032	N	08/2023	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	4	0.35	28	0.2629	0.0750	1.6211	N	08/2023	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	5	18.11	28	9.0523	5.9424	43.6214	N	08/2023	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	6	15.09	28	9.6322	3.6642	45.3852	N	08/2023	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	7	25.62	28	11.8118	8.8083	55.1339	N	08/2023	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	8	3.47	28	3.4510	0.4318	22.9446	N	08/2023	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	9	0.17	28	0.1592	0.0255	1.1450	N	08/2023	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	1	3.47	28	3.4192	0.4402	22.6022	N	08/2023	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	2	14.53	28	8.7609	3.8459	41.9585	N	08/2023	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	3	16.13	28	9.8235	4.1568	46.0417	N	08/2023	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	4	10.54	28	7.6843	2.1656	38.5448	N	08/2023	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	5	11.56	28	7.2557	2.9574	35.9256	N	08/2023	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	6	8.30	28	7.9610	1.0479	43.6278	N	08/2023	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	7	26.08	28	11.4614	9.4375	54.4415	N	08/2023	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	8	9.21	28	6.6333	1.9512	34.0648	N	08/2023	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	9	0.17	28	0.1592	0.0255	1.1450	N	08/2023	Incumbent
11-1021.00	3.A.4.a	Job-related Apprenticeship	IM	n/a	2.33	28	0.3483	1.6139	3.0434	N	08/2023	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	1	6.16	27	5.8830	0.8030	34.7229	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	2	9.82	27	5.9417	2.6660	30.1917	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	3	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	4	7.67	27	5.3186	1.7443	28.0021	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	5	8.04	27	5.4789	1.8701	28.6249	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	6	60.02	27	9.9779	38.9731	77.9195	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	7	2.42	27	2.4071	0.3051	16.7618	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	8	5.87	27	4.1933	1.2953	22.8803	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	9	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	10	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	11	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	12	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	1.98	23	0.2188	1.5213	2.4288	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	1	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	2	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	3	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	4	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	5	14.20	27	7.6408	4.3592	37.5267	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	6	13.73	27	6.8311	4.6361	34.2430	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	7	21.74	27	8.1455	9.4071	42.6353	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	8	26.52	27	8.5010	12.8328	46.9437	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	9	16.49	27	7.7712	5.8299	38.6461	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	10	2.42	27	2.4071	0.3051	16.7618	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	11	4.90	27	4.7467	0.6314	29.4806	N	08/2018	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	1	22.39	27	7.6973	10.4024	41.7642	N	08/2018	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	2	25.12	27	8.6005	11.5865	46.1975	N	08/2018	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	3	21.26	27	8.5247	8.6603	43.4747	N	08/2018	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	4	10.12	27	6.9195	2.3010	34.9747	N	08/2018	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	5	7.34	27	5.1171	1.6583	27.1113	N	08/2018	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	6	6.45	27	4.5591	1.4358	24.5809	N	08/2018	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	7	2.42	27	2.4071	0.3051	16.7618	N	08/2018	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	8	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	9	4.90	27	4.7467	0.6314	29.4806	N	08/2018	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	1	10.58	27	5.9086	3.1722	29.9305	N	08/2018	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	2	38.54	27	9.4179	21.6906	58.6792	N	08/2018	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	3	21.64	27	8.3068	9.1617	43.0476	N	08/2018	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	4	7.65	27	5.3080	1.7375	27.9588	N	08/2018	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	5	11.03	27	6.1635	3.2966	31.0742	N	08/2018	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	6	5.66	27	3.9648	1.2873	21.6324	N	08/2018	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	7	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	8	4.90	27	4.7467	0.6314	29.4806	N	08/2018	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	9	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	3.A.4.a	Job-related Apprenticeship	IM	n/a	2.11	23	0.2544	1.5844	2.6395	N	08/2018	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	1	0.00	37	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	2	3.53	37	3.5620	0.4361	23.3951	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	3	0.00	37	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	4	2.80	37	2.0719	0.6128	11.8824	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	5	3.03	37	2.0620	0.7458	11.4833	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	6	55.76	37	16.9574	23.8203	83.5595	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	7	0.00	37	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	8	24.36	37	9.6023	10.0622	48.0946	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	9	0.00	37	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	10	10.52	37	8.9995	1.6635	44.9712	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	11	0.00	37	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	12	0.00	37	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	1	0.00	37	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	2	1.43	37	1.4643	0.1742	10.6928	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	3	0.00	37	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	4	0.00	37	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	5	9.04	37	6.8513	1.8003	35.0039	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	6	7.23	37	4.3381	2.0538	22.4421	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	7	12.08	37	6.2721	3.9854	31.2783	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	8	18.80	37	8.0633	7.3473	40.3270	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	9	14.98	37	8.9214	4.0801	42.1768	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	10	33.99	37	10.8577	16.1724	57.8730	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	11	2.47	37	1.6953	0.6019	9.5512	N	07/2015	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	1	33.95	37	9.4145	17.9882	54.6333	N	07/2015	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	2	14.98	37	6.5228	5.8714	33.2384	N	07/2015	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	3	32.96	37	10.1881	16.1781	55.6048	N	07/2015	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	4	11.25	37	6.8045	3.0868	33.5521	N	07/2015	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	5	5.71	37	3.2713	1.7339	17.1954	N	07/2015	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	6	1.15	37	1.1818	0.1399	8.7657	N	07/2015	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	7	0.00	37	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	8	0.00	37	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	9	0.00	37	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	1	2.40	36	2.4391	0.2947	16.9400	N	07/2015	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	2	8.91	36	4.5292	3.0559	23.2947	N	07/2015	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	3	52.82	36	11.2501	30.9263	73.6795	N	07/2015	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	4	15.63	36	7.8113	5.2728	38.1430	N	07/2015	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	5	9.71	36	4.3396	3.7861	22.7050	N	07/2015	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	6	0.00	36	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	7	10.53	36	9.0090	1.6626	45.0518	N	07/2015	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	8	0.00	36	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	9	0.00	36	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	1	0.00	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	2	0.00	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	3	0.00	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	4	19.05	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	5	4.76	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	6	71.43	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	7	0.00	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	8	4.76	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	9	0.00	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	10	0.00	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	11	0.00	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
